1. 关于道德的说法中，正确的是( )
(A) 道德是一种社会规范性力量

2. 与法律相比，道德（）
B) 比法律的适用范围广

3. 关于企业形象，正确的说法是（）
C) 企业形象是社会公众和企业员工对企业的整体印象和评价

4. 在企业文化中居于核心地位的是（）
B) 企业价值观

5. 海尔总裁张瑞敏曾经说过这样的话。企业要靠无形资产来盘活有形资产，只有先盘活人，才能盘活资产。对这句话，准确的理解是（）
C) 人是企业发展的决定性因素

6. 员工处理与领导的关系时，正确的做法是（）
D) 一般不越级汇报工作

7. 科学发展观指的是（）
C) 以人为本，全面、协调、可持续发展

8. 关于职业劳动，正确的说法是（）
C) 职业劳动是市场经济条件下就业竞争加剧的结果

9. 你路遇熟人，与之打招呼，结果对方“视而不见”，没有回应。你会（）
C) 心想，他走路时真专注

10. 在单位工作时，你会（）
D) 怕影响工作，即使对要好的同事，说话也会注意分寸

11. 假如体在某个问题上与其他同事存在意见分歧。彼此争论激烈。但你相信你自己的观点是正确的，在争论结束时，你会（）
D) 和对方讲：“尽管我们彼此没有同意对方的观点．但我从你那里学到许多“

12. 在与同事们闲聊时，你通常会（）
A) 说说学习、工作的感受

13. 你与同事交往时，常用的方式是（）
C) 经常利用午餐时问或工作间隙，找人聊聊天

14. 你把一瓶家乡老酒放在办公室。一次，你的一位朋友无意间发现了这瓶酒，但这时只剩下半瓶，你会（）
B) 心想可能逐渐挥发了

15. 一次，你的一位很健谈、很有学识的朋友不清白到，来你家做客。这位朋友穿戴邋遢、坐卧随意，你的妻子(丈夫)是一位爱洁净的人，你朋友的这些举动惹得你的妻子(丈夫)怒形于色，你会（）
C) 耐心听朋友聊下去，因为他很有学识

16. 办公室的张小姐体态肥胖，今天上班时穿了一件在你看来很不得体的衣服。张小姐征求你对她的服装的意见，你会（）
D) 告诉张小姐，自己的看法是不准确的，征求别人意见吧

17. 在日常工作和生活中，对于自己所接触的那些人，你一般会（）。
D) 不管能不能记住对方，但总能够通过交谈回忆起来过去的一些事情

18. 劳动力需求的自身工资弹性是（）变动对工资事变动的反应程度
C) 劳动力需求量

19. 收入差距的衡量指标是（）
B) 基尼系数

20. （）是劳动权的核心
B) 就业权和择业权

